year,topic_bucket,count
2000,Artificial Intelligence,21706
2001,Artificial Intelligence,20774
2002,Artificial Intelligence,46556
2003,Artificial Intelligence,35116
2004,Artificial Intelligence,33856
2005,Artificial Intelligence,41209
2006,Artificial Intelligence,45349
2007,Artificial Intelligence,45232
2008,Artificial Intelligence,47876
2009,Artificial Intelligence,52200
2010,Artificial Intelligence,54965
2011,Artificial Intelligence,56946
2012,Artificial Intelligence,60576
2013,Artificial Intelligence,63328
2014,Artificial Intelligence,69590
2015,Artificial Intelligence,68515
2016,Artificial Intelligence,76724
2017,Artificial Intelligence,84560
2018,Artificial Intelligence,99468
2019,Artificial Intelligence,113716
2020,Artificial Intelligence,129044
2021,Artificial Intelligence,147267
2022,Artificial Intelligence,159442
2023,Artificial Intelligence,188509
2024,Artificial Intelligence,215740
2025,Artificial Intelligence,261120
