concept,concept_key,year,sample_count,share
Attention,attention,2000,9.0,0.04146318990140975
Attention,attention,2001,13.0,0.0625782227784731
Attention,attention,2002,27.0,0.05799467308187989
Attention,attention,2003,22.0,0.06264950449937351
Attention,attention,2004,16.0,0.04725897920604915
Attention,attention,2005,18.0,0.04367977868912131
Attention,attention,2006,24.0,0.052922886943482766
Attention,attention,2007,28.0,0.0619030774672798
Attention,attention,2008,27.0,0.05639568886289582
Attention,attention,2009,32.0,0.06130268199233716
Attention,attention,2010,29.0,0.052760847812244153
Attention,attention,2011,35.0,0.06146173567941559
Attention,attention,2012,38.0,0.0627311146328579
Attention,attention,2013,40.0,0.06316321374431531
Attention,attention,2014,40.0,0.057479522919959766
Attention,attention,2015,64.0,0.09341020214551558
Attention,attention,2016,157.0,0.20462958135655077
Attention,attention,2017,293.0,0.3464995269631031
Attention,attention,2018,659.0,0.6625246310371175
Attention,attention,2019,1122.0,0.9866685426852861
Attention,attention,2020,1329.0,1.0370092932887005
Attention,attention,2021,1823.0,1.247109688188373
Attention,attention,2022,1967.0,1.2537686360246547
Attention,attention,2023,2365.0,1.2749257416402069
Attention,attention,2024,2931.0,1.397517749095261
Attention,attention,2025,1978.0,1.6010101418893214
Transformer,transformer,2000,13.0,0.0598912743020363
Transformer,transformer,2001,14.0,0.06739193222297102
Transformer,transformer,2002,39.0,0.08377008334049317
Transformer,transformer,2003,30.0,0.08543114249914568
Transformer,transformer,2004,20.0,0.05907372400756144
Transformer,transformer,2005,32.0,0.07765293989177122
Transformer,transformer,2006,37.0,0.08158945070453594
Transformer,transformer,2007,33.0,0.07295719844357977
Transformer,transformer,2008,27.0,0.05639568886289582
Transformer,transformer,2009,29.0,0.05555555555555555
Transformer,transformer,2010,28.0,0.0509415082325116
Transformer,transformer,2011,31.0,0.0544375373160538
Transformer,transformer,2012,45.0,0.07428684627575277
Transformer,transformer,2013,41.0,0.06474229408792319
Transformer,transformer,2014,46.0,0.06610145135795373
Transformer,transformer,2015,40.0,0.058381376340947234
Transformer,transformer,2016,40.0,0.05213492518638236
Transformer,transformer,2017,45.0,0.053216650898770104
Transformer,transformer,2018,142.0,0.1427594804359191
Transformer,transformer,2019,971.0,0.8538815997748778
Transformer,transformer,2020,2277.0,1.7767269833095345
Transformer,transformer,2021,3544.0,2.4244414344155754
Transformer,transformer,2022,4180.0,2.6643380267326164
Transformer,transformer,2023,5816.0,3.1352930711963816
Transformer,transformer,2024,4767.0,2.2729331661334387
Transformer,transformer,2025,2924.0,2.3667106445320405
Language Model Frontier,language_model_frontier,2000,146.0,0.6726250806228693
Language Model Frontier,language_model_frontier,2001,123.0,0.5920862616732454
Language Model Frontier,language_model_frontier,2002,412.0,0.8849557522123894
Language Model Frontier,language_model_frontier,2003,244.0,0.6948399589930516
Language Model Frontier,language_model_frontier,2004,230.0,0.6793478260869565
Language Model Frontier,language_model_frontier,2005,274.0,0.664903297823291
Language Model Frontier,language_model_frontier,2006,300.0,0.6615360867935346
Language Model Frontier,language_model_frontier,2007,282.0,0.623452423063318
