country,year,topic_bucket,count
AD,2007,Applied / Interdisciplinary AI,1
AD,2011,Applied / Interdisciplinary AI,1
AD,2021,Applied / Interdisciplinary AI,1
AD,2022,Applied / Interdisciplinary AI,1
AD,2023,NLP,1
AD,2024,Applied / Interdisciplinary AI,2
AD,2024,NLP,1
AE,2000,Applied / Interdisciplinary AI,1
AE,2000,NLP,1
AE,2000,Reinforcement Learning,1
AE,2000,Robotics,2
AE,2001,Applied / Interdisciplinary AI,3
AE,2001,Core ML / Deep Learning,2
AE,2001,ML Theory & Optimization,1
AE,2001,NLP,1
AE,2002,Applied / Interdisciplinary AI,5
AE,2002,Core ML / Deep Learning,3
AE,2002,Healthcare AI,2
AE,2002,ML Theory & Optimization,1
AE,2002,NLP,4
AE,2002,Reinforcement Learning,3
AE,2002,Robotics,5
AE,2003,Applied / Interdisciplinary AI,6
AE,2003,Core ML / Deep Learning,5
AE,2003,ML Theory & Optimization,4
AE,2003,NLP,2
AE,2003,Reinforcement Learning,3
AE,2003,Robotics,2
AE,2004,Applied / Interdisciplinary AI,8
AE,2004,Core ML / Deep Learning,3
AE,2004,ML Theory & Optimization,6
AE,2004,NLP,5
AE,2004,Reinforcement Learning,2
AE,2004,Robotics,1
AE,2005,Applied / Interdisciplinary AI,5
AE,2005,Core ML / Deep Learning,4
AE,2005,ML Theory & Optimization,1
AE,2005,NLP,6
AE,2005,Reinforcement Learning,7
AE,2005,Robotics,1
AE,2006,Applied / Interdisciplinary AI,7
AE,2006,Core ML / Deep Learning,3
AE,2006,ML Theory & Optimization,5
AE,2006,NLP,9
AE,2006,Reinforcement Learning,7
AE,2006,Robotics,2
AE,2007,Applied / Interdisciplinary AI,12
AE,2007,Core ML / Deep Learning,2
AE,2007,Healthcare AI,1
AE,2007,ML Theory & Optimization,2
AE,2007,NLP,14
AE,2007,Reinforcement Learning,9
AE,2007,Robotics,2
AE,2008,Applied / Interdisciplinary AI,17
AE,2008,Core ML / Deep Learning,1
AE,2008,ML Theory & Optimization,6
AE,2008,NLP,9
AE,2008,Reinforcement Learning,6
AE,2008,Robotics,4
AE,2009,AI Ethics & Fairness,1
AE,2009,Applied / Interdisciplinary AI,14
AE,2009,Core ML / Deep Learning,2
AE,2009,ML Theory & Optimization,3
AE,2009,NLP,15
AE,2009,Reinforcement Learning,4
AE,2009,Robotics,2
AE,2010,Applied / Interdisciplinary AI,13
AE,2010,Core ML / Deep Learning,4
AE,2010,ML Theory & Optimization,4
AE,2010,NLP,7
AE,2010,Reinforcement Learning,5
AE,2010,Robotics,1
AE,2011,AI Ethics & Fairness,1
AE,2011,Applied / Interdisciplinary AI,19
AE,2011,Core ML / Deep Learning,7
AE,2011,Healthcare AI,4
AE,2011,ML Theory & Optimization,5
AE,2011,NLP,4
AE,2011,Reinforcement Learning,4
AE,2011,Robotics,1
AE,2012,Applied / Interdisciplinary AI,31
AE,2012,Core ML / Deep Learning,4
AE,2012,Healthcare AI,6
AE,2012,ML Theory & Optimization,8
AE,2012,NLP,18
AE,2012,Reinforcement Learning,5
AE,2012,Robotics,3
AE,2013,Applied / Interdisciplinary AI,37
AE,2013,Core ML / Deep Learning,3
AE,2013,Healthcare AI,2
AE,2013,ML Theory & Optimization,13
AE,2013,NLP,12
AE,2013,Reinforcement Learning,1
AE,2013,Robotics,3
AE,2014,AI Ethics & Fairness,3
AE,2014,Applied / Interdisciplinary AI,29
AE,2014,Core ML / Deep Learning,6
AE,2014,Healthcare AI,1
AE,2014,ML Theory & Optimization,10
AE,2014,NLP,22
AE,2014,Robotics,1
AE,2015,AI Ethics & Fairness,8
AE,2015,Applied / Interdisciplinary AI,42
AE,2015,Core ML / Deep Learning,12
AE,2015,Healthcare AI,4
AE,2015,ML Theory & Optimization,16
AE,2015,NLP,27
AE,2015,Reinforcement Learning,3
AE,2015,Robotics,4
AE,2016,AI Ethics & Fairness,4
AE,2016,Applied / Interdisciplinary AI,55
AE,2016,Core ML / Deep Learning,10
AE,2016,Healthcare AI,2
AE,2016,ML Theory & Optimization,16
AE,2016,NLP,29
AE,2016,Reinforcement Learning,1
AE,2016,Robotics,7
AE,2017,AI Ethics & Fairness,4
AE,2017,Applied / Interdisciplinary AI,80
AE,2017,Core ML / Deep Learning,12
AE,2017,Healthcare AI,1
AE,2017,ML Theory & Optimization,11
AE,2017,NLP,53
AE,2017,Reinforcement Learning,1
AE,2017,Robotics,6
AE,2018,AI Ethics & Fairness,12
AE,2018,Applied / Interdisciplinary AI,94
AE,2018,Core ML / Deep Learning,16
AE,2018,Healthcare AI,4
AE,2018,ML Theory & Optimization,23
AE,2018,NLP,52
AE,2018,Robotics,9
AE,2019,AI Ethics & Fairness,7
AE,2019,Applied / Interdisciplinary AI,122
AE,2019,Core ML / Deep Learning,42
AE,2019,Healthcare AI,6
AE,2019,ML Theory & Optimization,50
AE,2019,NLP,60
AE,2019,Reinforcement Learning,2
AE,2019,Robotics,7
AE,2020,AI Ethics & Fairness,16
AE,2020,Applied / Interdisciplinary AI,205
AE,2020,Core ML / Deep Learning,47
AE,2020,Healthcare AI,14
AE,2020,ML Theory & Optimization,57
AE,2020,NLP,66
AE,2020,Reinforcement Learning,1
AE,2020,Robotics,5
AE,2021,AI Ethics & Fairness,35
AE,2021,Applied / Interdisciplinary AI,210
AE,2021,Core ML / Deep Learning,66
AE,2021,Healthcare AI,38
AE,2021,ML Theory & Optimization,77
AE,2021,NLP,81
AE,2021,Reinforcement Learning,3
AE,2021,Robotics,16
AE,2022,AI Ethics & Fairness,68
AE,2022,Applied / Interdisciplinary AI,295
AE,2022,Core ML / Deep Learning,90
AE,2022,Healthcare AI,29
AE,2022,ML Theory & Optimization,126
AE,2022,NLP,126
AE,2022,Robotics,16
AE,2023,AI Ethics & Fairness,114
AE,2023,Applied / Interdisciplinary AI,443
AE,2023,Core ML / Deep Learning,126
AE,2023,Healthcare AI,63
AE,2023,ML Theory & Optimization,144
AE,2023,NLP,207
AE,2023,Robotics,30
AE,2024,AI Ethics & Fairness,133
AE,2024,Applied / Interdisciplinary AI,517
AE,2024,Core ML / Deep Learning,187
AE,2024,Healthcare AI,71
AE,2024,ML Theory & Optimization,161
AE,2024,NLP,178
AE,2024,Reinforcement Learning,3
AE,2024,Robotics,26
AE,2025,AI Ethics & Fairness,166
AE,2025,Applied / Interdisciplinary AI,547
AE,2025,Core ML / Deep Learning,255
AE,2025,Healthcare AI,87
AE,2025,ML Theory & Optimization,179
AE,2025,NLP,271
AE,2025,Reinforcement Learning,4
AE,2025,Robotics,25
AF,2013,Applied / Interdisciplinary AI,1
AF,2013,NLP,1
AF,2015,NLP,1
AF,2017,Applied / Interdisciplinary AI,1
AF,2017,Core ML / Deep Learning,1
AF,2017,NLP,1
AF,2018,Core ML / Deep Learning,1
AF,2018,Healthcare AI,1
AF,2018,ML Theory & Optimization,1
AF,2019,Applied / Interdisciplinary AI,2
AF,2019,Healthcare AI,1
AF,2019,NLP,4
AF,2020,Applied / Interdisciplinary AI,3
AF,2020,Core ML / Deep Learning,1
AF,2020,Healthcare AI,1
