year,author_count,institution_count,country_count,referenced_works_count,international_share
2000,2.0,1.0,1.0,6.0,10.99235234497374
2001,2.0,1.0,1.0,8.0,11.58178492346202
2002,2.0,1.0,1.0,9.0,10.99536042615345
2003,2.0,1.0,1.0,9.0,12.017314044879829
2004,2.0,1.0,1.0,9.0,12.266658790170132
2005,2.0,1.0,1.0,10.0,12.184231599893227
2006,2.0,1.0,1.0,11.0,12.919799775077731
2007,2.0,1.0,1.0,12.0,13.808807923593916
2008,2.0,1.0,1.0,12.0,14.543821538975688
2009,2.0,1.0,1.0,12.0,14.120689655172413
2010,2.0,1.0,1.0,12.0,14.125352497043572
2011,2.0,1.0,1.0,12.0,14.208197239490042
2012,2.0,1.0,1.0,13.0,15.010895404120443
2013,2.0,1.0,1.0,12.0,15.500252652854977
2014,2.0,1.0,1.0,13.0,15.825549647937924
2015,2.0,1.0,1.0,14.0,15.9877399109684
2016,3.0,1.0,1.0,13.0,15.106094572754287
2017,3.0,1.0,1.0,13.0,15.15491958372753
2018,3.0,1.0,1.0,14.0,15.194836530341416
2019,3.0,1.0,1.0,16.0,16.347743501354252
2020,3.0,1.0,1.0,18.0,17.03457477937218
2021,3.0,1.0,1.0,19.0,16.569524825897194
2022,3.0,1.0,1.0,13.0,15.398981432496
2023,3.0,1.0,1.0,14.0,15.3988388202759
2024,3.0,1.0,1.0,9.0,14.444354381129934
2025,3.0,1.0,1.0,14.0,19.34324589022801
