year,entropy,top5_share
2000,-0.0,34.09195614115912
2001,-0.0,31.404640415904495
2002,-0.0,37.90274078529083
2003,-0.0,31.501309944184985
2004,-0.0,30.6976606805293
2005,-0.0,30.04198112062899
2006,-0.0,29.806610950627356
2007,-0.0,28.592589317297488
2008,-0.0,29.131506391511405
2009,-0.0,27.978927203065133
2010,-0.0,26.143909760756845
2011,-0.0,25.729638604994204
2012,-0.0,24.095351294241944
2013,-0.0,23.60567205659424
2014,-0.0,24.533697370311828
2015,-0.0,22.964314383711596
2016,-0.0,22.288983890308117
2017,-0.0,21.209791863765375
2018,-0.0,21.362649294245386
2019,-0.0,21.68560272960709
2020,-0.0,21.116828368618457
2021,-0.0,21.77269856790727
2022,-0.0,21.969117296571795
2023,-0.0,24.59033786185275
2024,-0.0,26.677945675349957
2025,-0.0,23.014322916666668
