theme,family,count,late_count,growth_since_2000,fwci_attention,citation_velocity,keywords,x,y
Natural Language Processing Techniques,NLP,65844.0,16716.0,3.149990578481251,0.32330000000000003,0.2142857142857142,"Natural Language Processing, Topic Modeling, Linguistics, Mathematics, Philosophy",0.18,0.0
Neural Networks and Applications,Core ML / Deep Learning,65757.0,10643.0,0.8483302781541404,0.0,0.1111111111111111,"Mathematics, Machine, Psychology, Algorithm, Pattern Recognition",-0.17328168634840513,0.15874021915145808
Semantic Web and Ontologies,Other,56582.0,9092.0,2.559245707852519,0.3172,0.1538461538461538,"Semantic Web Ontologies, Ontology, Information Retrieval, Semantic Web, World Wide Web",0.022536755956778953,-0.2567947101595589
Quantum Information and Cryptography,Other,51274.0,10757.0,3.4447646493756006,0.98835,0.5,"Quantum Mechanics, Quantum, Physics, Quantum Information Cryptography, Quantum Computing Algorithms",0.16748058110450523,0.218448760451418
Educational Robotics and Engineering,Robotics,37466.0,6628.0,2.426427525622255,0.0,0.0,"Educational Robotics Engineering, Engineering, Human Auditory Perception, Physics, Psychology",-0.2855669107414743,-0.05051276561000037
Geochemistry and Geologic Mapping,Other,33622.0,9254.0,3.0584930601454063,0.0,0.125,"Geochemistry Geologic Mapping, Geology, Geochemistry, Geological Geochemical, Mineralogy",0.25564413382290546,-0.16261987208343334
Cryptography and Data Security,Other,33104.0,8869.0,6.69939577039275,0.8324,0.4545454545454545,"Cryptography Security, Mathematics, Security, Encryption, Theoretical",-0.08170316939438835,0.30393171769004107
Metaheuristic Optimization Algorithms Research,ML Theory & Optimization,29936.0,7284.0,5.669260700389105,0.818,0.44,"Metaheuristic Optimization Algorithms, Mathematics, Mathematical Optimization, Algorithm, Evolutionary Algorithms",-0.1500327595186927,-0.2888789487489268
"Logic, programming, and type systems",Other,29878.0,4363.0,1.0022967386311439,0.5075,0.2857142857142857,"Logic, Type, Programming, Programming Language, Formal Verification",0.3152019341739602,0.1151112408193442
Speech Recognition and Synthesis,NLP,29183.0,6558.0,2.0150537634408603,0.4865,0.2857142857142857,"Speech Recognition Synthesis, Speech Recognition, Speech Audio Processing, Natural Language Processing, Psychology",-0.31889921686754263,0.131636960923853
Topic Modeling,Other,28496.0,15891.0,30.56153846153846,0.58045,0.6923076923076923,"Natural Language Processing, Topic Modeling, Information Retrieval, Mathematics, Machine",0.1500098087906743,-0.32056224814834205
Advanced Software Engineering Methodologies,Other,26362.0,2924.0,1.0833333333333333,0.8338,0.3,"Software Engineering, Advanced Software Engineering, Software, Programming Language, Engineering",0.10846477122949603,0.34580278230686634
Coding theory and cryptography,Other,25547.0,5236.0,1.9577570093457943,0.2826,0.1904761904761904,"Mathematics, Coding Theory Cryptography, Discrete Mathematics, Algorithm, Graph Theory Cdma",-0.32058289295836134,-0.18578433928126273
Algorithms and Data Compression,Other,25361.0,4087.0,1.303155881415365,0.39,0.2,"Algorithms Compression, Mathematics, Algorithm, Physics, Combinatorics",0.3694816412256634,-0.08122950234598977
Target Tracking and Data Fusion in Sensor Networks,Other,24019.0,4959.0,2.710382513661202,0.451,0.25,"Target Tracking Fusion, Mathematics, Algorithm, Kalman Filter, Statistics",-0.22187984747419906,0.3156012508577084
Fuzzy Logic and Control Systems,Robotics,23938.0,3250.0,0.7255076991742915,0.4169,0.2,"Fuzzy Logic Control, Fuzzy Logic, Mathematics, Fuzzy Set, Fuzzy Control",-0.05050651104088084,-0.38975525987135085
Advanced Computational Techniques and Applications,Other,23265.0,3241.0,2.4579226686884,0.0,0.0,"Advanced Computational Techniques, Engineering, Mathematics, Geology, Database",0.30585959818241726,0.25777879315352975
"Logic, Reasoning, and Knowledge",Other,23174.0,4043.0,1.409550365981178,0.3624,0.217391304347826,"Logic, Knowledge, Reasoning, Mathematics, Philosophy",-0.4064234491063221,0.016806885605325565
Quantum Computing Algorithms and Architecture,Other,22969.0,6211.0,3.7557436517533254,0.28,0.3125,"Quantum, Quantum Mechanics, Quantum Computing Algorithms, Physics, Quantum Information Cryptography",0.2929912628088978,-0.29156543952020303
Multi-Agent Systems and Negotiation,Other,20868.0,2318.0,0.9065676309616888,0.4571,0.2105263157894736,"Multi, Agent Negotiation, Engineering, Logic, Agent",-0.019388371739316033,0.419291414321118
Evolutionary Algorithms and Applications,Other,20380.0,3080.0,1.4451219512195121,0.4457,0.2272727272727272,"Evolutionary Algorithms, Metaheuristic Optimization Algorithms, Mathematics, Machine, Genetic Algorithm",-0.27292125830737135,-0.3270508808624627
Linguistic Studies and Language Acquisition,NLP,18287.0,4231.0,2.9823819591261453,0.0,0.0,"Linguistic Studies Language, Linguistics, Philosophy, Psychology, History",0.428183277446252,0.05761145437768056
Bayesian Modeling and Causal Inference,ML Theory & Optimization,17542.0,3430.0,2.4178999295278367,0.2834,0.2631578947368421,"Bayesian Modeling Causal, Mathematics, Machine, Statistics, Bayesian Probability",-0.35951367906965603,0.2501402538703123
Bayesian Methods and Mixture Models,ML Theory & Optimization,17071.0,3631.0,2.6337926033357504,0.3051,0.2631578947368421,"Bayesian Mixture, Mathematics, Statistics, Bayesian Probability, Algorithm",0.09739940828198572,-0.43295013503625435
Speech and dialogue systems,NLP,15716.0,2662.0,1.384095634095634,0.4387,0.2105263157894736,"Speech Dialogue, Natural Language Processing, Linguistics, Psychology, Human Interaction",0.22345489738265334,0.3899585909425791
AI in cancer detection,Healthcare AI,15680.0,5754.0,7.1313506815365555,0.5077,0.4,"Cancer Detection, Medicine, Breast Cancer, Psychology, Pattern Recognition",-0.43347521362449426,-0.13829041605693096
Privacy-Preserving Technologies in Data,AI Ethics & Fairness,15401.0,6103.0,55.49090909090909,0.4887,0.4545454545454545,"Privacy, Security, Preserving Technologies, Mining, Cryptography Security",0.41798886278792385,-0.19312145648372495
Cryptographic Implementations and Security,Other,15370.0,3825.0,6.819964349376114,0.7247,0.4444444444444444,"Cryptographic Implementations Security, Security, Cryptography, Image, Chaos",-0.17982276731531227,0.42967730952966826
Anomaly Detection Techniques and Applications,Other,15187.0,6541.0,22.71527777777778,0.4384,0.3846153846153846,"Anomaly Detection Techniques, Mathematics, Mining, Psychology, Pattern Recognition",-0.15942207214232565,-0.44323397301200296
Sentiment Analysis and Opinion Mining,NLP,14483.0,7532.0,396.4736842105263,0.8156,0.6923076923076923,"Sentiment Opinion Mining, Advanced Text Techniques, Natural Language Processing, Sentiment, Information Retrieval",0.42151310405988424,0.22153547410530974
Advanced Text Analysis Techniques,NLP,13141.0,3926.0,7.050269299820466,0.3258,0.2105263157894736,"Advanced Text Techniques, Information Retrieval, Natural Language Processing, Mathematics, World Wide Web",-0.46535180729652015,0.12266524296590807
Security and Verification in Computing,Other,12884.0,3417.0,4.618918918918919,0.8488,0.4444444444444444,"Security Verification Computing, Advanced Malware Detection, Security, Operating, Programming Language",0.26296993261811663,-0.4089786656084369
Internet Traffic Analysis and Secure E-voting,Other,12517.0,3161.0,7.619277108433735,0.4685,0.3333333333333333,"Voting, Internet Traffic Secure, Security, Security Intrusion Detection, World Wide Web",0.0831852087162174,0.4840309237959787
Advanced Clustering Algorithms Research,Core ML / Deep Learning,12345.0,3129.0,6.480331262939958,0.4497,0.32,"Cluster, Advanced Clustering Algorithms, Mining, Mathematics, Algorithm",-0.39211031119418566,-0.30367226454955
Edcuational Technology Systems,Other,12186.0,8064.0,268.8333333333333,0.0,0.125,"Edcuational Technology, Decision Support, Engineering, Multimedia, Mathematics",0.49899279338888725,-0.04134053294156078
AI-based Problem Solving and Planning,Other,12108.0,1728.0,0.8446507083536883,0.3414,0.1739130434782608,"Problem Solving Planning, Reasoning, Mathematics, Engineering, Logic",-0.3431960999583386,0.3709849278323292
Solar Radiation and Photovoltaics,Other,11753.0,4267.0,8.368627450980393,0.5601,0.5454545454545454,"Solar Radiation Photovoltaics, Environmental, Physics, Meteorology, Photovoltaic Optimization Techniques",0.002487921353356992,-0.509993931578935
Text and Document Classification Technologies,NLP,11626.0,3275.0,7.990243902439024,0.4569,0.3333333333333333,"Text Document Classification, Machine, Mining, Psychology, Pattern Recognition",0.34571981554346887,0.3811056379017432
Artificial Intelligence in Games,Core ML / Deep Learning,11561.0,2927.0,4.871880199667221,0.14,0.16,"Games, Mathematics, Human Interaction, Digital Games Media, Multimedia",-0.5168278592843762,-0.047899489833553625
Computational Physics and Python Applications,Other,11526.0,3199.0,3.2989690721649483,0.0,0.0,"Computational Physics Python, Physics, Mathematics, Programming Language, Quantum Mechanics",0.41697886607548895,-0.31647209294768436
Reinforcement Learning in Robotics,Reinforcement Learning,11460.0,4602.0,7.103395061728395,0.2888,0.4,"Reinforcement Robotics, Reinforcement, Mathematics, Machine, Mathematical Optimization",-0.09447658146957955,0.5193268439975829
Machine Learning and Algorithms,Core ML / Deep Learning,10765.0,2460.0,2.243391066545123,0.4263,0.3333333333333333,"Machine Algorithms, Machine, Mathematics, Algorithm, Machine Classification",-0.28343769524866796,-0.45041084890718786
Cognitive Science and Mapping,Other,10582.0,2678.0,3.1406799531066825,0.0,0.125,"Cognitive Mapping, Psychology, Cognition, Cognitive, Mathematics",0.5173633831803753,0.1417878541082833
Intelligent Tutoring Systems and Adaptive Learning,Other,10109.0,2180.0,2.8324675324675326,0.3172,0.2083333333333333,"Intelligent Tutoring Adaptive, Psychology, Innovative Teaching, Human Interaction, Mathematics Education",-0.4810170119881285,0.24684998877697406
Seismology and Earthquake Studies,Other,8524.0,2277.0,3.240398293029872,0.0,0.0625,"Seismology Earthquake Studies, Geology, Seismology, Seismic Waves, Earthquake Tectonic Studies",0.18939162881280172,-0.510851399757021
