primary_topic,paper_count,mean_fwci,median_fwci,mean_citation_velocity,median_velocity,mean_citation_count,topic_bucket,early_count,late_count,growth,entropy_family
AI and Multimedia in Education,2846,0.4067428636296556,0.0,0.41226028142086185,0.0,2.273717498243148,Artificial Intelligence,7.0,2475.0,309.5,Artificial Intelligence
AI in Service Interactions,25315,2.615577251708078,0.1387,2.5114459681265644,0.25,12.612680229113174,Artificial Intelligence,212.0,22770.0,106.90610328638498,Artificial Intelligence
AI in cancer detection,48447,2.135713329015419,0.3626,2.0950838558958966,0.4,14.495180300121783,Artificial Intelligence,1974.0,32767.0,16.591392405063292,Artificial Intelligence
AI-based Problem Solving and Planning,16832,1.0959864230210314,0.136,0.7478937746034222,0.1428571428571428,10.227958650190114,Artificial Intelligence,3930.0,4724.0,1.201984227931824,Artificial Intelligence
Advanced Clustering Algorithms Research,18940,1.6940160495131997,0.362,1.6560088784086173,0.2962962962962963,20.025448785638858,Artificial Intelligence,1372.0,6595.0,4.8040786598689005,Artificial Intelligence
Advanced Computational Techniques and Applications,30755,0.2899538825608844,0.0,0.18329089058935613,0.0,2.011087628027963,Artificial Intelligence,3231.0,7490.0,2.317759900990099,Artificial Intelligence
Advanced Graph Neural Networks,27812,1.8213578062627644,0.0,2.7875105793223844,0.3333333333333333,17.137206961024017,Artificial Intelligence,37.0,23857.0,627.8421052631579,Artificial Intelligence
Advanced Software Engineering Methodologies,30073,2.0160608626299337,0.5866,0.873670228006578,0.2857142857142857,14.546403750872877,Artificial Intelligence,6801.0,3711.0,0.5457218465157306,Artificial Intelligence
Advanced Technologies in Various Fields,7982,0.6104695268241042,0.0,0.6097261190269924,0.0,2.9239538962665996,Artificial Intelligence,22.0,6932.0,301.4347826086956,Artificial Intelligence
Advanced Text Analysis Techniques,22913,1.127875803978091,0.1397,0.9856234492165789,0.1818181818181818,11.227032688866583,Artificial Intelligence,1385.0,9772.0,7.051226551226551,Artificial Intelligence
Adversarial Robustness in Machine Learning,34802,1.3638729885104304,0.0,2.143161004882826,0.3333333333333333,14.045342221711396,Artificial Intelligence,90.0,30481.0,334.967032967033,Artificial Intelligence
Algorithms and Data Compression,32823,1.2200443521829205,0.1746,0.8034374284948935,0.1666666666666666,12.280900588002316,Artificial Intelligence,6600.0,7462.0,1.1305862748068474,Artificial Intelligence
Anomaly Detection Techniques and Applications,52425,1.7733503375227468,0.2719,1.8349186236669384,0.3333333333333333,13.487381974248928,Artificial Intelligence,898.0,37238.0,41.42269187986652,Artificial Intelligence
Artificial Intelligence Applications,4177,0.3419429689083074,0.0,0.3721668256070109,0.0,2.3835288484558297,Artificial Intelligence,156.0,2793.0,17.796178343949045,Artificial Intelligence
Artificial Intelligence in Games,19162,1.0686805948079532,0.0,0.8397180259010516,0.1052631578947368,9.49410291201336,Artificial Intelligence,1428.0,7601.0,5.319804058782365,Artificial Intelligence
Authorship Attribution and Profiling,7712,1.0629485006742738,0.0,0.9377449673582745,0.1428571428571428,11.320150414937759,Artificial Intelligence,343.0,3645.0,10.598837209302326,Artificial Intelligence
Bayesian Methods and Mixture Models,24812,1.297762211520635,0.0,1.1615268413776807,0.2,17.781597614057713,Artificial Intelligence,3016.0,7741.0,2.566125290023202,Artificial Intelligence
Bayesian Modeling and Causal Inference,26027,1.25114110802167,0.0,1.2365714214659527,0.2142857142857142,17.093633534406578,Artificial Intelligence,3273.0,8485.0,2.5919364691508857,Artificial Intelligence
Coding theory and cryptography,36981,0.898086389078716,0.0,0.6154936946937247,0.1666666666666666,8.234444714853574,Artificial Intelligence,5594.0,11434.0,2.0437890974084003,Artificial Intelligence
Cognitive Computing and Networks,6889,0.8955902244244447,0.0,0.4892025431582748,0.0,4.872695601683843,Artificial Intelligence,463.0,2900.0,6.252155172413793,Artificial Intelligence
Cognitive Science and Mapping,17428,1.112548997115561,0.0,1.0148469856801907,0.1052631578947368,11.869118659628185,Artificial Intelligence,1757.0,6846.0,3.8947667804323096,Artificial Intelligence
Computational Physics and Python Applications,22661,0.7503183121967256,0.0,1.300555095414693,0.0,13.559551652619037,Artificial Intelligence,2024.0,11135.0,5.499259259259259,Artificial Intelligence
Computer Science and Engineering,19800,0.18603203879040406,0.0,0.23746610386551337,0.0,1.652020202020202,Artificial Intelligence,111.0,13417.0,119.80357142857143,Artificial Intelligence
Cryptographic Implementations and Security,23982,1.7128190873859561,0.4942,1.3024647421172586,0.4,16.18826619964974,Artificial Intelligence,1742.0,8612.0,4.941480206540447,Artificial Intelligence
Cryptography and Data Security,53407,2.334721881432022,0.572,1.8370460877740964,0.4583333333333333,22.09929410002434,Artificial Intelligence,3763.0,20303.0,5.394261424017003,Artificial Intelligence
Data Analysis with R,11682,1.2442854117890771,0.0,2.1885716214539355,0.0,23.958311932888204,Artificial Intelligence,617.0,5477.0,8.864077669902912,Artificial Intelligence
Data Stream Mining Techniques,13850,1.7441823553718412,0.3977,1.671424084509957,0.3846153846153846,16.30375451263538,Artificial Intelligence,361.0,7266.0,20.074585635359117,Artificial Intelligence
Diverse Interdisciplinary Research Studies,1008,0.2828220618055555,0.0,0.2736820024011982,0.0,4.218253968253968,Artificial Intelligence,110.0,361.0,3.2612612612612613,Artificial Intelligence
Domain Adaptation and Few-Shot Learning,31658,2.3085493721245816,0.0,3.822850842546531,0.5,28.02647040242593,Artificial Intelligence,65.0,26012.0,394.1363636363636,Artificial Intelligence
Edcuational Technology Systems,43050,0.2544346734801394,0.0,0.35015524759276634,0.0,2.442183507549361,Artificial Intelligence,90.0,30864.0,339.1758241758242,Artificial Intelligence
Educational Robotics and Engineering,50483,0.03727061420181051,0.0,0.023957496209597126,0.0,0.3190182833825248,Artificial Intelligence,7734.0,13017.0,1.682999353587589,Artificial Intelligence
Educational Technology and Pedagogy,17461,0.3087560147024798,0.0,0.29439987991500566,0.0,1.54945306683466,Artificial Intelligence,40.0,13841.0,337.609756097561,Artificial Intelligence
Evolutionary Algorithms and Applications,27631,1.3924017678317833,0.3395,0.943219385452994,0.2142857142857142,12.9165068220477,Artificial Intelligence,5219.0,7251.0,1.389272030651341,Artificial Intelligence
Experience-Based Knowledge Management,647,0.7788983238021638,0.0,0.776142975086375,0.1111111111111111,7.403400309119011,Artificial Intelligence,36.0,159.0,4.324324324324325,Artificial Intelligence
Explainable Artificial Intelligence (XAI),20896,2.097335500348392,0.0,2.866371655129501,0.25,16.845233537519142,Artificial Intelligence,67.0,19126.0,281.27941176470586,Artificial Intelligence
Fuzzy Logic and Control Systems,30036,1.3653097079994008,0.3395,0.8618299990644565,0.1904761904761904,12.4636769210281,Artificial Intelligence,7955.0,6098.0,0.7665912518853696,Artificial Intelligence
Gaussian Processes and Bayesian Inference,11121,1.2466286655912238,0.0,1.8510375741208853,0.25,19.54455534574229,Artificial Intelligence,341.0,5861.0,17.140350877192983,Artificial Intelligence
Geochemistry and Geologic Mapping,58254,0.9688869384171044,0.0,0.9910676931600244,0.1111111111111111,10.907251004222886,Artificial Intelligence,6274.0,24632.0,3.925577689243028,Artificial Intelligence
Hate Speech and Cyberbullying Detection,23075,1.150667687286674,0.0,1.4090309763846276,0.2,9.616641386782232,Artificial Intelligence,409.0,17398.0,42.43658536585366,Artificial Intelligence
Imbalanced Data Classification Techniques,21522,2.0018303088142364,0.3585,2.45574368444168,0.4285714285714285,23.121178329151565,Artificial Intelligence,471.0,14411.0,30.533898305084747,Artificial Intelligence
Intelligent Tutoring Systems and Adaptive Learning,20463,1.3980330210169574,0.0,1.0641944358340203,0.1176470588235294,10.490495039827982,Artificial Intelligence,1743.0,10354.0,5.9375,Artificial Intelligence
Internet Traffic Analysis and Secure E-voting,22134,1.559070205304057,0.3424,1.2471783956505478,0.3043478260869565,13.570660522273425,Artificial Intelligence,1290.0,9617.0,7.450038729666925,Artificial Intelligence
Intuitionistic Fuzzy Systems Applications,2457,0.3541288080830281,0.0,0.29134572562594463,0.0,2.665852665852666,Artificial Intelligence,139.0,1145.0,8.185714285714285,Artificial Intelligence
"Law, AI, and Intellectual Property",14429,0.4315673486811283,0.0,0.43330371986102245,0.0,2.4302446461986276,Artificial Intelligence,668.0,9798.0,14.647234678624812,Artificial Intelligence
Linguistic Studies and Language Acquisition,26483,0.09865725318317412,0.0,0.11421795168515995,0.0,1.5378922327530868,Artificial Intelligence,3357.0,8196.0,2.4410363311494936,Artificial Intelligence
"Logic, Reasoning, and Knowledge",31597,1.0781736580957053,0.1681,0.645255139304989,0.1666666666666666,9.76377504193436,Artificial Intelligence,5815.0,8423.0,1.4484181568088033,Artificial Intelligence
"Logic, programming, and type systems",37523,1.6168783908250939,0.408,0.8092512530030792,0.25,13.251205927031421,Artificial Intelligence,8951.0,7645.0,0.8541108132260947,Artificial Intelligence
Machine Learning and Algorithms,17887,1.4091364808061722,0.0,1.2294556950491076,0.25,16.166992788058366,Artificial Intelligence,2265.0,7122.0,3.14342453662842,Artificial Intelligence
Machine Learning and Data Classification,20138,1.6249261922867217,0.0,2.2973808584715285,0.25,21.280613765021354,Artificial Intelligence,754.0,12947.0,17.149668874172185,Artificial Intelligence
Machine Learning and ELM,12626,2.097769995443529,0.5081,2.1160929093493634,0.5,19.030809440836368,Artificial Intelligence,96.0,6733.0,69.42268041237114,Artificial Intelligence
Machine Learning in Healthcare,19247,1.7613190223099704,0.0,1.7845769682944894,0.2222222222222222,11.217280615160805,Artificial Intelligence,230.0,15174.0,65.6926406926407,Artificial Intelligence
Mathematical Control Systems and Analysis,5304,0.3086575162631976,0.0,0.2258450002240059,0.0,2.2927978883861235,Artificial Intelligence,617.0,2086.0,3.3770226537216828,Artificial Intelligence
Metaheuristic Optimization Algorithms Research,47182,2.7940493320683735,0.6344,2.8279780421178984,0.5,30.881395447416388,Artificial Intelligence,3404.0,17246.0,5.065198237885463,Artificial Intelligence
Multi-Agent Systems and Negotiation,26826,1.4487131517606053,0.3414,0.7177284422253307,0.1818181818181818,11.260381719227615,Artificial Intelligence,5985.0,5958.0,0.9954894754426996,Artificial Intelligence
Natural Language Processing Techniques,119604,1.3748743394732617,0.0,1.271609750436482,0.1666666666666666,13.295934918564596,Artificial Intelligence,11579.0,53760.0,4.642573402417962,Artificial Intelligence
Neural Networks and Applications,105167,1.0004548811541643,0.0,1.025545835060453,0.0833333333333333,13.89973090418097,Artificial Intelligence,23323.0,39410.0,1.6897187446407134,Artificial Intelligence
Neural Networks and Reservoir Computing,17103,2.0387195175010233,0.1564,2.1647706970154643,0.3125,14.839443372507747,Artificial Intelligence,419.0,12693.0,30.223809523809525,Artificial Intelligence
Organizational and Employee Performance,20997,1.0089884567785874,0.0,0.9185219698053605,0.0,5.036910034766872,Artificial Intelligence,83.0,16536.0,196.86904761904762,Artificial Intelligence
Privacy-Preserving Technologies in Data,56269,2.100845517899554,0.3147,2.3176268510345954,0.4444444444444444,16.812454459826903,Artificial Intelligence,436.0,40868.0,93.52173913043478,Artificial Intelligence
"Psychiatry, Mental Health, Neuroscience",4702,0.15756470899617184,0.0,0.0964349683446189,0.0,1.2735006380263718,Artificial Intelligence,497.0,1869.0,3.755020080321285,Artificial Intelligence
Quantum Computing Algorithms and Architecture,62776,1.7871386571646808,0.0,1.853765168992866,0.25,15.997817637313624,Artificial Intelligence,3976.0,39807.0,10.009554940910235,Artificial Intelligence
Quantum Information and Cryptography,82033,2.8220779204627404,0.6294,2.0404941912028827,0.5,24.928918849731204,Artificial Intelligence,8558.0,30759.0,3.5938777894613856,Artificial Intelligence
Reinforcement Learning in Robotics,31685,1.2161400639482405,0.0,1.7121982281028783,0.2857142857142857,15.655988638156856,Artificial Intelligence,1550.0,20225.0,13.040618955512572,Artificial Intelligence
Security and Verification in Computing,20428,2.1930347493215194,0.4569,1.42853180784436,0.3888888888888889,17.26282553358136,Artificial Intelligence,1867.0,7544.0,4.039079229122056,Artificial Intelligence
Seismology and Earthquake Studies,17284,0.8941366277516778,0.0,0.8549931112967407,0.0,7.717195093728304,Artificial Intelligence,1479.0,8760.0,5.919594594594595,Artificial Intelligence
Semantic Web and Ontologies,74773,1.3655629009958141,0.1387,0.7348597333312188,0.1363636363636363,10.44201784066441,Artificial Intelligence,9593.0,18191.0,1.8961851156973109,Artificial Intelligence
