year,country_code,institution_type,paper_institution_rows,unique_papers,unique_institutions,median_fwci
2000,,Business,1004,899,281,1.1532
2000,,Government,318,302,109,0.5328
2000,,Healthcare,254,232,166,0.5311
2000,,University,14996,11344,2173,0.7688
2000,,,4984,3963,1684,1.0253
2001,,Business,1000,910,281,1.1691
2001,,Government,339,325,100,0.8768
2001,,Healthcare,269,242,170,0.5475
2001,,University,15726,11937,2096,0.8768
2001,,,5119,4121,1666,0.8789
2002,,Business,2369,2153,417,0.8338
2002,,Government,902,851,167,0.4261
2002,,Healthcare,508,476,274,0.421
2002,,University,39602,31014,2866,0.4263
2002,,,12904,10441,2601,0.566
2003,,Business,1833,1657,396,0.9139
2003,,Government,686,658,139,0.4718
2003,,Healthcare,430,384,236,0.8286
2003,,University,29411,22300,2776,0.5524
2003,,,9125,7368,2369,0.7707
2004,,Business,1669,1498,383,1.15856973
2004,,Government,658,619,150,0.8994
2004,,Healthcare,338,298,216,0.6826
2004,,University,28057,20865,2844,0.8994
2004,,,8170,6454,2204,0.9102
2005,,Business,2158,1919,447,0.9186
2005,,Government,849,797,156,0.4986
2005,,Healthcare,502,444,311,0.4986
2005,,University,35008,25931,3178,0.7479
2005,,,10505,8316,2590,0.7479
2006,,Business,2258,2005,443,1.3555
2006,,Government,964,894,167,0.9036
2006,,Healthcare,462,409,279,0.4684
2006,,University,40098,29263,3494,0.9035
2006,,,11326,8721,2720,0.9304
2007,,Business,2397,2115,489,1.374
2007,,Government,952,893,179,0.6852
2007,,Healthcare,483,426,270,0.4865
2007,,University,40322,28936,3563,0.9164
2007,,,11825,9037,2793,0.9387
2008,,Business,2659,2360,553,1.7161
2008,,Government,1030,957,191,1.1441
2008,,Healthcare,585,509,333,0.8342499999999999
2008,,University,45086,31983,3823,1.1154
2008,,,12335,9309,3021,1.1708
2009,,Business,2908,2561,569,1.3583
2009,,Government,1112,1056,217,0.8683
2009,,Healthcare,598,547,340,0.8724
2009,,University,48881,34758,4007,0.8724
2009,,,13179,9906,3112,0.9055
2010,,Business,3094,2771,622,1.3531
2010,,Government,1126,1049,201,0.9021
2010,,Healthcare,694,606,394,0.466
2010,,University,52359,36902,4384,0.8496
2010,,,14285,10735,3225,0.9319
2011,,Business,3153,2789,612,1.1179
2011,,Government,1205,1119,223,0.7453
2011,,Healthcare,692,594,410,0.8552
2011,,University,53643,37893,4560,0.78347363
2011,,,14480,10924,3325,0.8793
2012,,Business,3569,3144,699,1.2688
2012,,Government,1189,1115,228,0.884
2012,,Healthcare,855,741,440,0.8563
2012,,University,57226,39841,4824,0.884
2012,,,16150,11918,3685,0.9499
2013,,Business,3492,3126,722,1.3581
2013,,Government,1226,1149,226,0.9885
2013,,Healthcare,818,716,468,0.6771
2013,,University,59813,40825,5058,0.9618
2013,,,16601,12259,3758,1.0156
2014,,Business,4206,3709,804,1.227
2014,,Government,1446,1355,263,0.8487
2014,,Healthcare,1063,914,532,0.4229
2014,,University,66207,44636,5338,0.8456
2014,,,18286,13390,3953,0.9659621
2015,,Business,4041,3644,802,1.3355
2015,,Government,1437,1340,249,1.0236
2015,,Healthcare,991,857,551,0.6819999999999999
2015,,University,66500,44651,5534,0.8904
2015,,,18450,13420,4050,1.0242
2016,,Business,4366,3979,845,1.3252
2016,,Government,1665,1562,281,1.2854
2016,,Healthcare,1114,975,613,0.8868
2016,,University,71513,47932,5748,1.0159
2016,,,19112,14207,4326,1.2854
2017,,Business,4951,4513,879,0.8314
2017,,Government,1817,1711,277,0.6226499999999999
2017,,Healthcare,1319,1118,716,0.4162
2017,,University,80236,52917,6176,0.6224
2017,,,20902,15358,4516,0.6245
2018,,Business,6363,5777,960,0.8459
2018,,Government,2022,1888,326,0.5438
2018,,Healthcare,1664,1407,837,0.5428
2018,,University,95548,62851,6615,0.5429
2018,,,24511,17990,5124,0.59568738
2019,,Business,8546,7787,1073,0.7259
2019,,Government,2504,2363,362,0.5513
2019,,Healthcare,2173,1818,997,0.7001
2019,,University,112396,73150,7025,0.5601
2019,,,29132,21241,5788,0.5601
2020,,Business,10356,9303,1203,0.8154
2020,,Government,2754,2619,389,0.5485
2020,,Healthcare,2766,2206,1093,0.8161
2020,,University,130300,83111,7419,0.544
2020,,,33030,24010,6157,0.544
2021,,Business,11977,10670,1317,0.6999
2021,,Government,3511,3180,400,0.56
2021,,Healthcare,3244,2524,1261,0.9518
2021,,University,149862,94383,7818,0.5597
2021,,,38099,27590,6665,0.5597
2022,,Business,10549,9417,1340,0.6936
2022,,Government,3809,3503,455,0.5549
2022,,Healthcare,3968,3004,1434,0.971
2022,,University,158209,96824,8189,0.5549
2022,,,39193,28480,7040,0.5549
2023,,Business,12302,10993,1475,0.6627
2023,,Government,4388,4010,466,0.5332
2023,,Healthcare,4677,3563,1589,0.9896
2023,,University,188698,114924,8524,0.5254
2023,,,46400,33490,7721,0.52355
2024,,Business,11591,10357,1669,0.7252
2024,,Government,4265,3934,496,0.6726
2024,,Healthcare,5892,4330,1858,0.9441
2024,,University,205179,122685,9079,0.6623
2024,,,48387,35182,8641,0.648
2025,,Business,8514,7551,1531,2.1733
2025,,Government,3142,2900,493,2.1733
2025,,Healthcare,5326,3735,1803,3.5744
2025,,University,148575,83338,8462,2.1733
2025,,,35782,25372,8094,2.1406
