year,institution_type,paper_institution_rows,unique_papers,unique_institutions,median_fwci,mean_fwci,median_citation_velocity,mean_citation_velocity
2000,Business,627,560,107,1.5983,5.349381206523126,0.6666666666666666,3.9944473979561703
2000,Government,332,315,112,0.5328,3.651580121626506,0.2222222222222222,2.3949129852744315
2000,Healthcare,254,232,166,0.5311,1.6708300075590552,0.2592592592592592,0.9572761738116069
2000,Nonprofit,562,506,216,0.7688,2.66263757702847,0.2962962962962963,1.3892183998945564
2000,Other,5079,3955,1700,0.7669,2.6221608113329395,0.2962962962962963,1.679406123981828
2000,University,14702,11212,2112,0.7688,2.6638292678077815,0.3333333333333333,1.7533945998780716
2001,Business,625,565,111,1.6425,5.479168257007999,0.6923076923076923,5.32596923076923
2001,Government,348,331,104,0.5853999999999999,3.842276802528736,0.32692307692307687,3.072391688770999
2001,Healthcare,268,241,169,0.5475,3.0109276119402986,0.24999999999999994,2.9421641791044775
2001,Nonprofit,646,586,235,0.5487,2.8833187182198143,0.3076923076923077,1.3291855203619911
2001,Other,5099,4032,1657,0.586,2.6207343629986273,0.3076923076923077,1.8184938223181015
2001,University,15467,11835,2037,0.6018,2.828151346791233,0.3076923076923077,2.2082871224592306
2002,Business,1575,1409,161,0.8338,2.9615857169269844,0.32,1.9599492063492063
2002,Government,943,878,173,0.4169,1.8397787400424177,0.2,2.5397667020148464
2002,Healthcare,506,474,272,0.41895,1.6487457572134387,0.2,0.9515415019762846
2002,Nonprofit,1418,1311,311,0.4264,2.0578905524471085,0.22,1.2700423131170664
2002,Other,12648,10045,2632,0.43,2.2054206593421886,0.24,1.527675521821632
2002,University,39195,30853,2776,0.4263,1.8768274130850875,0.2,1.347533103712208
2003,Business,1148,1019,154,0.9364,4.326240719006969,0.4166666666666667,2.3796820557491287
2003,Government,709,678,142,0.4685,2.23425981438646,0.25,1.373589562764457
2003,Healthcare,427,381,235,0.8286,2.89832858323185,0.2916666666666667,1.818696330991413
2003,Nonprofit,1043,954,284,0.8286,2.383921304688399,0.2916666666666667,1.3364093959731544
2003,Other,9088,7131,2399,0.55225,2.291283864215449,0.2916666666666667,1.3243883876173708
2003,University,29070,22174,2702,0.5524,2.426945748843137,0.2916666666666667,1.5150240798073615
2004,Business,960,856,138,1.7988,4.678809681625,0.6521739130434783,2.791847826086957
2004,Government,677,633,157,0.6826,2.820718472466765,0.3043478260869565,1.5677220473957998
2004,Healthcare,335,295,214,0.6826,2.5582908941791045,0.3043478260869565,1.5961064243997403
2004,Nonprofit,981,888,262,0.9251,3.6273999570234454,0.391304347826087,2.372867083277933
2004,Other,8239,6313,2267,0.8994,2.635314697993689,0.3478260869565217,1.544103600584706
2004,University,27700,20738,2759,0.8994,2.662901782437184,0.3478260869565217,1.6267446240778527
2005,Business,1290,1131,166,1.2465,3.954727657821705,0.5,2.452008456659619
2005,Government,879,815,162,0.4986,2.578352069146758,0.2727272727272727,1.4824697486813527
2005,Healthcare,498,440,307,0.49770000000000003,2.132828139196787,0.2727272727272727,1.1224899598393574
2005,Nonprofit,1286,1156,306,0.8775,3.634188178553655,0.4090909090909091,2.8775625618549414
2005,Other,10613,8093,2649,0.7461,2.3689032280062188,0.3181818181818182,1.3396306416658814
2005,University,34456,25703,3092,0.7479,2.4961821869961693,0.3181818181818182,1.5105127488021615
2006,Business,1391,1220,169,1.807,4.364493305463696,0.6190476190476191,2.825579405018657
2006,Government,997,913,173,0.9035,2.5951760545837512,0.3333333333333333,1.4105172660839662
2006,Healthcare,460,407,277,0.4685,2.7589512827173914,0.2857142857142857,1.475776397515528
2006,Nonprofit,1407,1295,340,0.9035,2.857515613717129,0.3333333333333333,1.533049040511727
2006,Other,11471,8493,2746,0.9065,2.629417103710226,0.3333333333333333,1.4564927705891877
2006,University,39382,28999,3398,0.9035,2.497327348152709,0.3333333333333333,1.5077107985035465
2007,Business,1464,1272,180,1.4526,4.0491008461407105,0.65,2.4531762295081965
2007,Government,983,912,187,0.4866,2.941989944557477,0.3,1.7158189216683621
2007,Healthcare,480,423,267,0.4865,2.7735860161458334,0.3,1.3464583333333333
2007,Nonprofit,1322,1202,360,0.9387,3.6351773343419063,0.4,2.1790847201210286
2007,Other,12058,8880,2844,0.916,2.7666190647288107,0.35,1.7428263393597612
2007,University,39672,28650,3456,0.916,2.7289021115728977,0.35,1.6296922262552935
2008,Business,1556,1365,199,1.7623,5.146455488785347,0.631578947368421,2.4995264510891624
2008,Government,1055,972,195,1.1441,3.576763504872038,0.3684210526315789,1.607932152656523
2008,Healthcare,581,506,330,0.5904,3.619268141962134,0.3157894736842105,1.3667904701512816
2008,Nonprofit,1464,1318,380,1.1793,4.232659996277323,0.4736842105263157,1.9073914293931549
