year,term,count,score
2000,Neural Networks and Applications,2353.0,0.10840320648668571
2000,Natural Language Processing Techniques,1775.0,0.08177462452778034
2000,"Logic, programming, and type systems",1207.0,0.05560674467889063
2000,Geochemistry and Geologic Mapping,1125.0,0.051828987376762184
2000,Semantic Web and Ontologies,940.0,0.043305998341472404
2000,Quantum Information and Cryptography,834.0,0.03842255597530637
2000,Educational Robotics and Engineering,808.0,0.03722473048926564
2000,"Logic, Reasoning, and Knowledge",779.0,0.035888694370220214
2000,Fuzzy Logic and Control Systems,683.0,0.03146595411406984
2000,Speech Recognition and Synthesis,638.0,0.029392794618999355
2000,Algorithms and Data Compression,625.0,0.02879388187597899
2000,Speech and dialogue systems,564.0,0.025983599004883444
2000,Multi-Agent Systems and Negotiation,539.0,0.02483184372984428
2000,Coding theory and cryptography,502.0,0.023127245922786328
2000,Evolutionary Algorithms and Applications,481.0,0.02215977149175343
2000,Advanced Software Engineering Methodologie,457.0,0.021054086427715838
2000,Linguistic Studies and Language Acquisitio,445.0,0.020501243895697043
2000,Quantum Computing Algorithms and Architect,438.0,0.020178752418686077
2000,AI-based Problem Solving and Planning,425.0,0.019579839675665716
2000,Bayesian Methods and Mixture Models,418.0,0.01925734819865475
2000,Bayesian Modeling and Causal Inference,373.0,0.017184188703584263
2000,Target Tracking and Data Fusion in Sensor ,325.0,0.014972818575509075
2000,Advanced Computational Techniques and Appl,324.0,0.01492674836450751
2000,Cryptography and Data Security,320.0,0.014742467520501243
2001,Neural Networks and Applications,2028.0,0.0001
2001,Natural Language Processing Techniques,1339.0,0.0001
2001,"Logic, programming, and type systems",1250.0,0.004564623377333495
2001,Quantum Information and Cryptography,988.0,0.009136893336333184
2001,Geochemistry and Geologic Mapping,919.0,0.0001
2001,Educational Robotics and Engineering,909.0,0.006531888361220546
2001,Semantic Web and Ontologies,904.0,0.0002099350367888858
2001,"Logic, Reasoning, and Knowledge",848.0,0.004931561719122235
2001,Multi-Agent Systems and Negotiation,687.0,0.0082383401538565
2001,Coding theory and cryptography,673.0,0.009269018638684744
2001,Fuzzy Logic and Control Systems,630.0,0.0001
2001,Quantum Computing Algorithms and Architect,502.0,0.003986068992693534
2001,Advanced Software Engineering Methodologie,445.0,0.00036692060029995185
2001,Linguistic Studies and Language Acquisitio,432.0,0.0002939809045340164
2001,Bayesian Modeling and Causal Inference,387.0,0.0014448668466227263
2001,Cryptography and Data Security,364.0,0.0027794348574712215
2001,Computational Physics and Python Applicati,319.0,0.002317863414505109
2001,Machine Learning and Algorithms,275.0,0.0019044290659839761
2001,Cognitive Science and Mapping,263.0,0.0015571349876520573
2001,Metaheuristic Optimization Algorithms Rese,241.0,0.0005441891208640779
2001,Artificial Intelligence in Games,168.0,0.000577587473501201
2001,Reinforcement Learning in Robotics,160.0,0.0024960012680196866
2001,Cryptographic Implementations and Security,155.0,0.0017946136857791258
2001,Advanced Text Analysis Techniques,150.0,0.0008168048375291675
2002,Neural Networks and Applications,8165.0,0.072249302178904
2002,Fuzzy Logic and Control Systems,3167.0,0.037116940674001904
2002,Speech Recognition and Synthesis,2200.0,0.02244324272459516
2002,Natural Language Processing Techniques,2192.0,0.0001
2002,Algorithms and Data Compression,1922.0,0.012705461005266885
2002,"Logic, programming, and type systems",1896.0,0.0001
2002,Advanced Software Engineering Methodologie,1797.0,0.01736515520502292
2002,Semantic Web and Ontologies,1708.0,0.0001
2002,Coding theory and cryptography,1499.0,0.004537707985150904
2002,Multi-Agent Systems and Negotiation,1331.0,0.0001
2002,Quantum Information and Cryptography,1300.0,0.0001
2002,"Logic, Reasoning, and Knowledge",1241.0,0.0001
2002,AI-based Problem Solving and Planning,1234.0,0.0073908359598201315
2002,Target Tracking and Data Fusion in Sensor ,1216.0,0.01168876224473566
2002,Evolutionary Algorithms and Applications,1188.0,0.003318974423447113
2002,Educational Robotics and Engineering,1014.0,0.0001
2002,Geochemistry and Geologic Mapping,981.0,0.0001
2002,Speech and dialogue systems,934.0,0.0001
2002,Metaheuristic Optimization Algorithms Rese,803.0,0.005925069846831282
2002,Advanced Computational Techniques and Appl,730.0,0.0018382333310518941
2002,Quantum Computing Algorithms and Architect,713.0,0.0001
2002,Bayesian Modeling and Causal Inference,658.0,0.0001
2002,Security and Verification in Computing,489.0,0.004618357269838774
2002,Reinforcement Learning in Robotics,374.0,0.0016067825249514228
2003,Neural Networks and Applications,4439.0,0.0001
2003,Natural Language Processing Techniques,1851.0,0.0001
2003,Semantic Web and Ontologies,1665.0,0.007520308616429695
2003,Quantum Information and Cryptography,1588.0,0.010157083124592486
2003,"Logic, programming, and type systems",1519.0,0.0001
2003,Fuzzy Logic and Control Systems,1320.0,0.0001
2003,Educational Robotics and Engineering,1214.0,0.0038981494568282385
2003,Advanced Software Engineering Methodologie,1183.0,0.003374766168756857
2003,Algorithms and Data Compression,1178.0,0.0001
2003,Multi-Agent Systems and Negotiation,1125.0,0.0033179579196361657
2003,Evolutionary Algorithms and Applications,1086.0,0.006991934584735664
2003,Target Tracking and Data Fusion in Sensor ,818.0,0.0027519722827737056
2003,Quantum Computing Algorithms and Architect,705.0,0.0015107944296147077
2003,Bayesian Modeling and Causal Inference,631.0,0.002042874737718574
2003,Linguistic Studies and Language Acquisitio,624.0,0.0018435354052205692
2003,Metaheuristic Optimization Algorithms Rese,602.0,0.002722049569984685
2003,Cryptography and Data Security,602.0,0.0022840245014730722
2003,Advanced Computational Techniques and Appl,597.0,0.0021977963240400883
2003,Security and Verification in Computing,365.0,0.002094108859701644
2003,AI in cancer detection,361.0,0.0012276960648238567
2003,Cryptographic Implementations and Security,347.0,0.0035919447550549436
2003,Reinforcement Learning in Robotics,299.0,0.001247913629927321
2003,Seismology and Earthquake Studies,285.0,0.0002315073042098003
2003,Topic Modeling,269.0,0.0018312229426150047
2004,Neural Networks and Applications,2659.0,0.0001
2004,Natural Language Processing Techniques,2264.0,0.009224377800929676
2004,Semantic Web and Ontologies,2035.0,0.018086443232400898
2004,Educational Robotics and Engineering,1746.0,0.019795795622683875
2004,Quantum Information and Cryptography,1689.0,0.01195039282599012
2004,Advanced Software Engineering Methodologie,1361.0,0.008931546241079447
2004,"Logic, programming, and type systems",1233.0,0.0001
2004,Multi-Agent Systems and Negotiation,1130.0,0.0037194596574160986
2004,Algorithms and Data Compression,1034.0,0.0001
2004,Geochemistry and Geologic Mapping,981.0,0.0001
2004,Evolutionary Algorithms and Applications,976.0,0.002916191762497123
2004,Cryptography and Data Security,812.0,0.008478744757173686
2004,Quantum Computing Algorithms and Architect,775.0,0.003898220575644148
2004,Speech and dialogue systems,737.0,0.0008104870016642819
2004,Metaheuristic Optimization Algorithms Rese,684.0,0.005012157485835705
2004,Linguistic Studies and Language Acquisitio,682.0,0.003696559501244343
2004,Advanced Computational Techniques and Appl,564.0,0.0012341494071965685
2004,Computational Physics and Python Applicati,403.0,0.0015128663096191253
2004,Cryptographic Implementations and Security,360.0,0.0033277093960437047
2004,Intelligent Tutoring Systems and Adaptive ,342.0,0.0015717401901760523
2004,Security and Verification in Computing,319.0,0.0005299334427668455
2004,Text and Document Classification Technolog,318.0,0.004052494009721116
2004,Advanced Clustering Algorithms Research,304.0,0.003195972593385437
2004,Topic Modeling,301.0,0.0025435370186505935
2005,Neural Networks and Applications,3679.0,0.0001
2005,Semantic Web and Ontologies,2341.0,0.01091156853123506
2005,Quantum Information and Cryptography,2159.0,0.011893518412316527
2005,Natural Language Processing Techniques,2158.0,0.0001
2005,Educational Robotics and Engineering,2043.0,0.013559385124238148
2005,"Logic, programming, and type systems",1846.0,0.0001
2005,Advanced Software Engineering Methodologie,1558.0,0.004625410900398988
2005,Speech Recognition and Synthesis,1331.0,0.0001
2005,Geochemistry and Geologic Mapping,1265.0,0.0001
2005,Algorithms and Data Compression,1252.0,0.0001
2005,Fuzzy Logic and Control Systems,1225.0,0.0001
2005,Target Tracking and Data Fusion in Sensor ,1077.0,0.004889307873955053
2005,Cryptography and Data Security,1026.0,0.007575566101292893
2005,Quantum Computing Algorithms and Architect,843.0,0.0006285863836229914
2005,Metaheuristic Optimization Algorithms Rese,834.0,0.003973298218748089
2005,Advanced Computational Techniques and Appl,752.0,0.0025593618405932717
2005,Bayesian Methods and Mixture Models,636.0,0.0003709933239188744
2005,AI in cancer detection,487.0,0.002406890886786679
2005,Cryptographic Implementations and Security,475.0,0.003508026927531001
2005,Security and Verification in Computing,444.0,0.0017684722896349203
2005,Text and Document Classification Technolog,368.0,0.0027215416848399027
2005,Advanced Clustering Algorithms Research,350.0,0.00202526336531743
2005,Topic Modeling,339.0,0.0013343022213591167
2005,Internet Traffic Analysis and Secure E-vot,336.0,0.0021158897098500938
2006,Neural Networks and Applications,3564.0,0.0001
2006,Natural Language Processing Techniques,2841.0,0.004524917636949635
2006,Semantic Web and Ontologies,2835.0,0.014361639167137577
2006,Quantum Information and Cryptography,2346.0,0.008773940707544337
2006,Educational Robotics and Engineering,1931.0,0.003758884703264208
2006,Advanced Software Engineering Methodologie,1669.0,0.0026648048028005827
2006,Multi-Agent Systems and Negotiation,1376.0,0.00029983833598214854
2006,Target Tracking and Data Fusion in Sensor ,1216.0,0.004557126027889363
2006,Evolutionary Algorithms and Applications,1202.0,0.0003079824165779996
2006,Cryptography and Data Security,1128.0,0.005984806623246557
2006,Metaheuristic Optimization Algorithms Rese,1086.0,0.006860711147238751
2006,Quantum Computing Algorithms and Architect,970.0,0.0014315307034816552
2006,Advanced Computational Techniques and Appl,905.0,0.0037378432087433223
2006,Linguistic Studies and Language Acquisitio,802.0,0.0008340931666480193
2006,Bayesian Methods and Mixture Models,718.0,0.0006934934342572464
