id,title,year,fwci,citation_velocity,citation_count,primary_topic,topic_bucket,country,venue
https://doi.org/10.4230/lipics.itp.2023.19,MizAR 60 for Mizar 50,2023,8959.0024,18980.5,75922.0,Natural Language Processing Techniques,Artificial Intelligence,CZ,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)
https://doi.org/10.18637/jss.v067.i01,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015,5136.1752,7066.583333333333,84799.0,Data Analysis with R,Artificial Intelligence,United States,Journal of Statistical Software
https://doi.org/10.4230/lipics.ecoop.2025.6,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,2025,3080.6048,8064.5,16129.0,Advanced Graph Neural Networks,Artificial Intelligence,China,Dagstuhl Research Online Publication Server
https://doi.org/10.4230/lipics.cosit.2022.18,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018,2264.4055,5064.666666666667,45582.0,Topic Modeling,Artificial Intelligence,United States,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)
https://doi.org/10.1038/s41592-019-0686-2,SciPy 1.0: fundamental algorithms for scientific computing in Python,2020,2432.7598,5332.857142857143,37330.0,Computational Physics and Python Applications,Artificial Intelligence,FI,Nature Methods
https://doi.org/10.4230/oasics.dx.2024.27,On a Method to Measure Supervised Multiclass Model’s Interpretability: Application to Degradation Diagnosis (Short Paper),2024,1963.6117,4427.666666666667,13283.0,Explainable Artificial Intelligence (XAI),Artificial Intelligence,France,Dagstuhl Research Online Publication Server
https://doi.org/10.4230/lipics.giscience.2023.43,"Aion Framework: Dimensional Emergence of AI Consciousness, Observer-Induced Collapse, and Cosmological Portal Dynamics",2023,1885.0405,3552.25,14209.0,Topic Modeling,Artificial Intelligence,United States,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics)
https://doi.org/10.3115/v1/d14-1162,Glove: Global Vectors for Word Representation,2014,1171.8372,2587.769230769231,33641.0,Topic Modeling,Artificial Intelligence,United States,
https://doi.org/10.1038/nature16961,Mastering the game of Go with deep neural networks and tree search,2016,2219.7866,1432.7272727272727,15760.0,Artificial Intelligence in Games,Artificial Intelligence,United Kingdom,Nature
https://doi.org/10.1038/s41586-020-2649-2,Array programming with NumPy,2020,1265.2745,3119.8571428571427,21839.0,Computational Physics and Python Applications,Artificial Intelligence,United States,Nature
