year,channel,count
2000,journal article,15164
2000,other,5938
2000,preprint,604
2001,journal article,14236
2001,other,5973
2001,preprint,565
2002,journal article,39382
2002,other,6379
2002,preprint,795
2003,journal article,27101
2003,other,7178
2003,preprint,837
2004,journal article,24827
2004,other,8011
2004,preprint,1018
2005,journal article,30008
2005,other,10053
2005,preprint,1148
2006,journal article,32068
2006,other,11757
2006,preprint,1524
2007,journal article,31988
2007,other,11687
2007,preprint,1557
2008,journal article,35056
2008,other,11112
2008,preprint,1708
2009,journal article,37926
2009,other,12311
2009,preprint,1963
2010,journal article,40777
2010,other,12055
2010,preprint,2133
2011,journal article,39816
2011,other,14596
2011,preprint,2534
2012,journal article,42750
2012,other,14222
2012,preprint,3604
2013,journal article,45448
2013,other,13456
2013,preprint,4424
2014,journal article,50085
2014,other,14905
2014,preprint,4600
2015,journal article,50871
2015,other,12288
2015,preprint,5356
2016,journal article,56157
2016,other,13308
2016,preprint,7259
2017,journal article,60390
2017,other,14265
2017,preprint,9905
2018,journal article,68477
2018,other,16441
2018,preprint,14550
2019,journal article,78276
2019,other,15562
2019,preprint,19878
2020,journal article,83965
2020,other,17189
2020,preprint,27003
2021,journal article,94618
2021,other,17430
2021,preprint,34130
2022,journal article,104233
2022,other,19137
2022,preprint,33517
2023,journal article,119862
2023,other,22118
2023,preprint,43521
2024,journal article,136004
2024,other,22721
2024,preprint,51004
2025,journal article,91423
2025,other,15118
2025,preprint,17006
