primary_topic,early,late,growth,family
Advanced Graph Neural Networks,27,17153,612.6428571428571,Core ML / Deep Learning
Sentiment Analysis and Opinion Mining,45,20400,443.5,NLP
Educational Technology and Pedagogy,26,10335,382.8148148148149,Other
Domain Adaptation and Few-Shot Learning,56,20164,353.7719298245614,Other
Edcuational Technology Systems,75,23937,314.9736842105263,Other
Adversarial Robustness in Machine Learning,72,21606,295.986301369863,Core ML / Deep Learning
Advanced Technologies in Various Fields,17,4911,272.8888888888889,Other
AI and Multimedia in Education,6,1820,260.1428571428572,Other
Explainable Artificial Intelligence (XAI),52,12896,243.33962264150944,AI Ethics & Fairness
Organizational and Employee Performance,65,12834,194.46969696969697,Other
Computer Science and Engineering,81,10297,125.58536585365852,Other
Privacy-Preserving Technologies in Data,284,32145,112.79298245614036,AI Ethics & Fairness
AI in Service Interactions,184,15748,85.12972972972973,Other
Machine Learning and ELM,72,5287,72.43835616438356,Core ML / Deep Learning
Machine Learning in Healthcare,176,10693,60.4180790960452,Healthcare AI
Stochastic Gradient Optimization Techniques,76,4357,56.5974025974026,ML Theory & Optimization
Topic Modeling,1089,59820,54.88165137614679,Other
Anomaly Detection Techniques and Applications,626,30084,47.98245614035088,Other
Hate Speech and Cyberbullying Detection,345,13442,38.85260115606936,NLP
Wireless Signal Modulation Classification,195,6070,30.97448979591837,Core ML / Deep Learning
