dimension,group,order,n_papers,high_impact_rate
International collaboration,Single country,0,1906963,8.567759311533575
International collaboration,Multi-country,1,332421,22.10119095965658
Open access,Closed,0,1171313,10.168503209645927
Open access,Open access,1,1068071,11.02436074006316
Venue type,Journal,0,926985,16.28343500703895
Venue type,Conference,1,64410,10.830616363918647
Venue type,Other,2,1247989,6.32473523404453
Team size,Solo (1),0,429143,4.417175626772428
Team size,Small (2-3),1,967876,9.724696138761576
Team size,Medium (4-6),2,626890,14.832745776771045
Team size,Large (7+),3,139680,21.502720504009165
References,0,0,718284,2.1984340455864255
References,1-9,1,314489,3.0411238548884065
References,10-29,2,692449,9.387406148322837
References,30+,3,514162,28.491992796044823
