family,year,share,kind,lo,hi
AI Ethics & Fairness,2000,0.32213529682466635,history,,
AI Ethics & Fairness,2001,0.2883229216722729,history,,
AI Ethics & Fairness,2002,0.4285408185129634,history,,
AI Ethics & Fairness,2003,0.3080369644357323,history,,
AI Ethics & Fairness,2004,1.018626309662398,history,,
AI Ethics & Fairness,2005,1.1341698841698842,history,,
AI Ethics & Fairness,2006,1.629018245004344,history,,
AI Ethics & Fairness,2007,1.581798483206934,history,,
AI Ethics & Fairness,2008,2.00661977658254,history,,
AI Ethics & Fairness,2009,2.412363362231436,history,,
AI Ethics & Fairness,2010,2.6573925450329945,history,,
AI Ethics & Fairness,2011,2.247778358599059,history,,
AI Ethics & Fairness,2012,2.8474903474903472,history,,
AI Ethics & Fairness,2013,2.5302701024526546,history,,
AI Ethics & Fairness,2014,2.5580095051719316,history,,
AI Ethics & Fairness,2015,2.407566638005159,history,,
AI Ethics & Fairness,2016,2.948434861670347,history,,
AI Ethics & Fairness,2017,3.196559339765198,history,,
AI Ethics & Fairness,2018,4.178300757877942,history,,
AI Ethics & Fairness,2019,5.222135619641465,history,,
AI Ethics & Fairness,2020,7.119155354449472,history,,
AI Ethics & Fairness,2021,8.49056603773585,history,,
AI Ethics & Fairness,2022,10.16280217069561,history,,
AI Ethics & Fairness,2023,10.0688210652304,history,,
AI Ethics & Fairness,2024,9.630016086257118,history,,
AI Ethics & Fairness,2025,8.325499412455935,history,,
AI Ethics & Fairness,2026,8.965101513878116,forecast,7.465505535893523,10.464697491862708
AI Ethics & Fairness,2027,8.895231150010678,forecast,6.778270749077809,11.012191550943548
AI Ethics & Fairness,2028,8.99019964142994,forecast,6.404641534035167,11.575757748824714
Applied / Interdisciplinary AI,2000,28.30188679245283,history,,
Applied / Interdisciplinary AI,2001,29.697260932244113,history,,
Applied / Interdisciplinary AI,2002,28.326548103706877,history,,
Applied / Interdisciplinary AI,2003,29.739568748249788,history,,
Applied / Interdisciplinary AI,2004,29.59837019790454,history,,
Applied / Interdisciplinary AI,2005,29.39189189189189,history,,
Applied / Interdisciplinary AI,2006,29.626411815812336,history,,
Applied / Interdisciplinary AI,2007,31.029252437703143,history,,
Applied / Interdisciplinary AI,2008,29.292511377741004,history,,
Applied / Interdisciplinary AI,2009,29.0425932906144,history,,
Applied / Interdisciplinary AI,2010,30.88995897984662,history,,
Applied / Interdisciplinary AI,2011,32.427252134518206,history,,
Applied / Interdisciplinary AI,2012,31.097168597168594,history,,
Applied / Interdisciplinary AI,2013,29.959639863396458,history,,
Applied / Interdisciplinary AI,2014,30.164942689404526,history,,
Applied / Interdisciplinary AI,2015,28.847807394668962,history,,
Applied / Interdisciplinary AI,2016,28.367320431224837,history,,
Applied / Interdisciplinary AI,2017,27.676391956294317,history,,
Applied / Interdisciplinary AI,2018,25.518548065416834,history,,
Applied / Interdisciplinary AI,2019,24.733697064172514,history,,
Applied / Interdisciplinary AI,2020,25.93514328808447,history,,
Applied / Interdisciplinary AI,2021,26.39487870619946,history,,
Applied / Interdisciplinary AI,2022,27.21386285150469,history,,
Applied / Interdisciplinary AI,2023,27.284061440255336,history,,
Applied / Interdisciplinary AI,2024,28.09443067692709,history,,
Applied / Interdisciplinary AI,2025,29.215628672150412,history,,
Applied / Interdisciplinary AI,2026,28.686120131593004,forecast,27.18652415360841,30.185716109577598
Applied / Interdisciplinary AI,2027,28.520859231460044,forecast,26.403898830527172,30.63781963239291
Applied / Interdisciplinary AI,2028,28.152888139346917,forecast,25.567330031952146,30.738446246741688
Core ML / Deep Learning,2000,11.41279337321675,history,,
Core ML / Deep Learning,2001,11.004324843825083,history,,
Core ML / Deep Learning,2002,12.791943432611957,history,,
Core ML / Deep Learning,2003,11.229347521702604,history,,
Core ML / Deep Learning,2004,10.273573923166472,history,,
Core ML / Deep Learning,2005,10.593629343629344,history,,
Core ML / Deep Learning,2006,9.339704604691573,history,,
Core ML / Deep Learning,2007,8.840736728060673,history,,
Core ML / Deep Learning,2008,10.198593297476211,history,,
Core ML / Deep Learning,2009,9.80022615906521,history,,
Core ML / Deep Learning,2010,10.041020153379703,history,,
Core ML / Deep Learning,2011,10.193413486670151,history,,
