year,count,mean_fwci,median_fwci,mean_citation_velocity,median_citation_velocity
2000,21706,1.9058184263232487,0.3838,1.2382034665274322,0.1111111111111111
2001,20774,2.1109048316352044,0.5272,1.6600632447363937,0.1538461538461538
2002,46556,1.5956110179666834,0.4169,1.0642391958072,0.16
2003,35116,1.9189941736323213,0.4569,1.2062094202073128,0.1666666666666666
2004,33856,2.016525581280757,0.452,1.2612124496589134,0.1739130434782608
2005,41209,1.8969153552667963,0.4387,1.1718722079686916,0.1818181818181818
2006,45349,1.931126031412577,0.4518,1.126233686047574,0.1428571428571428
2007,45232,2.033487107703191,0.4693,1.2471093473646975,0.2
2008,47876,2.306720570511604,0.5721,1.0871022070172507,0.1578947368421052
2009,52200,1.9757211104530488,0.4362,1.2286845466155811,0.1666666666666666
2010,54965,1.8682372656984076,0.451,1.1251127722989496,0.1764705882352941
2011,56946,1.849044614810301,0.4276,1.104232518526323,0.125
2012,60576,1.8374422371571977,0.4281,1.201530859306216,0.2
2013,63328,2.0875619058403974,0.4809,1.2377779181404749,0.1428571428571428
2014,69590,1.9960253117422324,0.409,1.493335691467607,0.1538461538461538
2015,68515,2.295086926412428,0.4451,1.585283028047386,0.25
2016,76724,2.535065266300849,0.4417,1.7697259598750659,0.2727272727272727
2017,84560,1.5115114551753188,0.267,1.9703654210028383,0.3
2018,99468,1.4504889954224782,0.2719,2.0795822665469186,0.3333333333333333
2019,113716,1.4320210749888775,0.28,2.225967541946604,0.375
2020,129044,1.3811616340701238,0.272,2.1490532575821315,0.2857142857142857
2021,147267,1.3353309013024293,0.2799,1.8702368260823312,0.3333333333333333
2022,159442,1.2435936737712752,0.2775,1.6634249444939224,0.4
2023,188509,1.2939241308760272,0.3313,1.5780678906577406,0.25
2024,215740,1.3848578163395746,0.324,1.1979944995519296,0.3333333333333333
2025,261120,2.129616009562837,0.0,0.5067650888480392,0.0
