oa_status,oa_status_label,paper_count,publication_year
closed,closed,16702,2000
green,green,1839,2000
bronze,bronze,1313,2000
gold,gold,1117,2000
diamond,diamond,475,2000
hybrid,hybrid,261,2000
closed,closed,16376,2001
green,green,2038,2001
bronze,bronze,1140,2001
diamond,diamond,611,2001
gold,gold,419,2001
hybrid,hybrid,189,2001
closed,closed,40282,2002
green,green,3201,2002
bronze,bronze,1351,2002
gold,gold,887,2002
diamond,diamond,663,2002
hybrid,hybrid,171,2002
closed,closed,28951,2003
green,green,3075,2003
bronze,bronze,1391,2003
diamond,diamond,754,2003
gold,gold,736,2003
hybrid,hybrid,207,2003
closed,closed,26459,2004
green,green,3334,2004
bronze,bronze,1684,2004
gold,gold,1437,2004
diamond,diamond,714,2004
hybrid,hybrid,227,2004
closed,closed,33085,2005
green,green,4135,2005
bronze,bronze,1799,2005
gold,gold,1022,2005
diamond,diamond,868,2005
hybrid,hybrid,301,2005
closed,closed,35578,2006
green,green,4494,2006
gold,gold,2039,2006
bronze,bronze,1892,2006
diamond,diamond,973,2006
hybrid,hybrid,369,2006
closed,closed,34582,2007
green,green,5119,2007
bronze,bronze,2303,2007
gold,gold,1568,2007
diamond,diamond,1162,2007
hybrid,hybrid,499,2007
closed,closed,35931,2008
green,green,5512,2008
gold,gold,2295,2008
bronze,bronze,2260,2008
diamond,diamond,1145,2008
hybrid,hybrid,734,2008
closed,closed,38986,2009
green,green,6218,2009
gold,gold,2533,2009
bronze,bronze,2220,2009
diamond,diamond,1545,2009
hybrid,hybrid,693,2009
closed,closed,40275,2010
green,green,7120,2010
bronze,bronze,2613,2010
gold,gold,2004,2010
diamond,diamond,1815,2010
hybrid,hybrid,1138,2010
closed,closed,41257,2011
green,green,7581,2011
bronze,bronze,2952,2011
diamond,diamond,2583,2011
gold,gold,1358,2011
hybrid,hybrid,1208,2011
closed,closed,40984,2012
green,green,9393,2012
bronze,bronze,3725,2012
diamond,diamond,2788,2012
gold,gold,2199,2012
hybrid,hybrid,1483,2012
closed,closed,40991,2013
green,green,10768,2013
bronze,bronze,4351,2013
diamond,diamond,2960,2013
gold,gold,2725,2013
hybrid,hybrid,1526,2013
closed,closed,43459,2014
green,green,11096,2014
gold,gold,4646,2014
bronze,bronze,4438,2014
diamond,diamond,4061,2014
hybrid,hybrid,1891,2014
closed,closed,39069,2015
green,green,12703,2015
diamond,diamond,5572,2015
gold,gold,4729,2015
bronze,bronze,4031,2015
hybrid,hybrid,2408,2015
closed,closed,42412,2016
green,green,15449,2016
diamond,diamond,6533,2016
gold,gold,6289,2016
bronze,bronze,3553,2016
hybrid,hybrid,2487,2016
closed,closed,45137,2017
green,green,18394,2017
diamond,diamond,7994,2017
gold,gold,6935,2017
bronze,bronze,3704,2017
hybrid,hybrid,2394,2017
closed,closed,47964,2018
green,green,23607,2018
diamond,diamond,11282,2018
gold,gold,9472,2018
bronze,bronze,3945,2018
hybrid,hybrid,3197,2018
closed,closed,49374,2019
green,green,28898,2019
diamond,diamond,14322,2019
gold,gold,13242,2019
bronze,bronze,4658,2019
hybrid,hybrid,3222,2019
closed,closed,51883,2020
green,green,36637,2020
gold,gold,15997,2020
diamond,diamond,15768,2020
bronze,bronze,4634,2020
hybrid,hybrid,4117,2020
closed,closed,57555,2021
green,green,42196,2021
diamond,diamond,18341,2021
gold,gold,17897,2021
hybrid,hybrid,6574,2021
bronze,bronze,4694,2021
closed,closed,63775,2022
green,green,42340,2022
gold,gold,19135,2022
diamond,diamond,17894,2022
hybrid,hybrid,10220,2022
bronze,bronze,6094,2022
closed,closed,73687,2023
green,green,49390,2023
gold,gold,26656,2023
diamond,diamond,21431,2023
hybrid,hybrid,10595,2023
bronze,bronze,6785,2023
closed,closed,85284,2024
green,green,54544,2024
gold,gold,29610,2024
diamond,diamond,25432,2024
hybrid,hybrid,14080,2024
bronze,bronze,6883,2024
closed,closed,101732,2025
green,green,69862,2025
gold,gold,37515,2025
diamond,diamond,28151,2025
hybrid,hybrid,17269,2025
bronze,bronze,7261,2025
green,green,79401,2026
closed,closed,38823,2026
gold,gold,15337,2026
diamond,diamond,11115,2026
hybrid,hybrid,7417,2026
bronze,bronze,1997,2026
