primary_topic_id,primary_topic_name,paper_count,publication_year,topic_bucket
https://openalex.org/T10320,Neural Networks and Applications,2353,2000,Core ML / Deep Learning
https://openalex.org/T10181,Natural Language Processing Techniques,1775,2000,NLP
https://openalex.org/T10126,"Logic, programming, and type systems",1207,2000,Other
https://openalex.org/T12157,Geochemistry and Geologic Mapping,1125,2000,Other
https://openalex.org/T10215,Semantic Web and Ontologies,940,2000,Other
https://openalex.org/T10020,Quantum Information and Cryptography,834,2000,Other
https://openalex.org/T14335,Educational Robotics and Engineering,808,2000,Robotics
https://openalex.org/T11010,"Logic, Reasoning, and Knowledge",779,2000,Other
https://openalex.org/T10820,Fuzzy Logic and Control Systems,683,2000,Robotics
https://openalex.org/T10201,Speech Recognition and Synthesis,638,2000,NLP
https://openalex.org/T11269,Algorithms and Data Compression,625,2000,Other
https://openalex.org/T12031,Speech and dialogue systems,564,2000,NLP
https://openalex.org/T10456,Multi-Agent Systems and Negotiation,539,2000,Other
https://openalex.org/T11130,Coding theory and cryptography,502,2000,Other
https://openalex.org/T11975,Evolutionary Algorithms and Applications,481,2000,Other
https://openalex.org/T10639,Advanced Software Engineering Methodologies,457,2000,Other
https://openalex.org/T13623,Linguistic Studies and Language Acquisition,445,2000,NLP
https://openalex.org/T10682,Quantum Computing Algorithms and Architecture,438,2000,Other
https://openalex.org/T10906,AI-based Problem Solving and Planning,425,2000,Other
https://openalex.org/T11901,Bayesian Methods and Mixture Models,418,2000,ML Theory & Optimization
https://openalex.org/T11303,Bayesian Modeling and Causal Inference,373,2000,ML Theory & Optimization
https://openalex.org/T10711,Target Tracking and Data Fusion in Sensor Networks,325,2000,Other
https://openalex.org/T13734,Advanced Computational Techniques and Applications,324,2000,Other
https://openalex.org/T10237,Cryptography and Data Security,320,2000,Other
https://openalex.org/T13650,Computational Physics and Python Applications,283,2000,Other
https://openalex.org/T13018,Seismology and Earthquake Studies,268,2000,Other
https://openalex.org/T12072,Machine Learning and Algorithms,246,2000,Core ML / Deep Learning
https://openalex.org/T12805,Cognitive Science and Mapping,241,2000,Other
https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research,240,2000,ML Theory & Optimization
https://openalex.org/T10862,AI in cancer detection,227,2000,Healthcare AI
https://openalex.org/T11902,Intelligent Tutoring Systems and Adaptive Learning,220,2000,Other
https://openalex.org/T14351,Statistical and Computational Modeling,208,2000,Other
https://openalex.org/T11276,Solar Radiation and Photovoltaics,189,2000,Other
https://openalex.org/T11574,Artificial Intelligence in Games,163,2000,Core ML / Deep Learning
https://openalex.org/T13083,Advanced Text Analysis Techniques,139,2000,NLP
https://openalex.org/T10028,Topic Modeling,125,2000,Other
https://openalex.org/T11424,Security and Verification in Computing,125,2000,Other
https://openalex.org/T10951,Cryptographic Implementations and Security,123,2000,Other
https://openalex.org/T13851,"Law, AI, and Intellectual Property",120,2000,Other
https://openalex.org/T10462,Reinforcement Learning in Robotics,113,2000,Reinforcement Learning
https://openalex.org/T13398,Data Analysis with R,110,2000,Other
https://openalex.org/T10637,Advanced Clustering Algorithms Research,97,2000,Core ML / Deep Learning
https://openalex.org/T13935,Mathematical Control Systems and Analysis,96,2000,Robotics
https://openalex.org/T12535,Machine Learning and Data Classification,83,2000,Core ML / Deep Learning
https://openalex.org/T11598,Internet Traffic Analysis and Secure E-voting,82,2000,Other
https://openalex.org/T11550,Text and Document Classification Technologies,80,2000,NLP
https://openalex.org/T11512,Anomaly Detection Techniques and Applications,73,2000,Other
https://openalex.org/T12262,Hate Speech and Cyberbullying Detection,68,2000,NLP
https://openalex.org/T14381,"Psychiatry, Mental Health, Neuroscience",55,2000,Healthcare AI
https://openalex.org/T13629,Text Readability and Simplification,49,2000,NLP
https://openalex.org/T12814,Gaussian Processes and Bayesian Inference,48,2000,ML Theory & Optimization
https://openalex.org/T12611,Neural Networks and Reservoir Computing,46,2000,Core ML / Deep Learning
https://openalex.org/T11652,Imbalanced Data Classification Techniques,45,2000,Core ML / Deep Learning
https://openalex.org/T13702,Machine Learning in Healthcare,44,2000,Healthcare AI
https://openalex.org/T13062,Cognitive Computing and Networks,42,2000,Other
https://openalex.org/T12380,Authorship Attribution and Profiling,39,2000,Other
https://openalex.org/T12128,AI in Service Interactions,34,2000,Other
https://openalex.org/T14064,Organizational and Employee Performance,25,2000,Other
https://openalex.org/T10764,Privacy-Preserving Technologies in Data,23,2000,AI Ethics & Fairness
https://openalex.org/T12026,Explainable Artificial Intelligence (XAI),21,2000,AI Ethics & Fairness
https://openalex.org/T11689,Adversarial Robustness in Machine Learning,18,2000,Core ML / Deep Learning
https://openalex.org/T12761,Data Stream Mining Techniques,18,2000,Other
