publication_year,topic_bucket,paper_count
2000,Other,11695
2000,NLP,3762
2000,Core ML / Deep Learning,3088
2000,Robotics,1587
2000,ML Theory & Optimization,1092
2000,Healthcare AI,326
2000,Reinforcement Learning,113
2000,AI Ethics & Fairness,44
2001,Other,11754
2001,NLP,2948
2001,Core ML / Deep Learning,2814
2001,Robotics,1637
2001,ML Theory & Optimization,1069
2001,Healthcare AI,351
2001,Reinforcement Learning,160
2001,AI Ethics & Fairness,40
2002,Other,22952
2002,Core ML / Deep Learning,9780
2002,NLP,6514
2002,Robotics,4284
2002,ML Theory & Optimization,2126
2002,Healthcare AI,462
2002,Reinforcement Learning,374
2002,AI Ethics & Fairness,63
2003,Other,19275
2003,Core ML / Deep Learning,5713
2003,NLP,4833
2003,Robotics,2640
2003,ML Theory & Optimization,1789
2003,Healthcare AI,498
2003,Reinforcement Learning,299
2003,AI Ethics & Fairness,67
2004,Other,19142
2004,NLP,5311
2004,Core ML / Deep Learning,3967
2004,Robotics,2771
2004,ML Theory & Optimization,1813
2004,Healthcare AI,432
2004,Reinforcement Learning,297
2004,AI Ethics & Fairness,122
2005,Other,23443
2005,NLP,5716
2005,Core ML / Deep Learning,5312
2005,Robotics,3387
2005,ML Theory & Optimization,2248
2005,Healthcare AI,630
2005,Reinforcement Learning,307
2005,AI Ethics & Fairness,167
2006,Other,25520
2006,NLP,6964
2006,Core ML / Deep Learning,5649
2006,Robotics,3249
2006,ML Theory & Optimization,2660
2006,Healthcare AI,632
2006,Reinforcement Learning,380
2006,AI Ethics & Fairness,291
2007,Other,26436
2007,NLP,6474
2007,Core ML / Deep Learning,4858
2007,Robotics,3312
2007,ML Theory & Optimization,2748
2007,Healthcare AI,660
2007,Reinforcement Learning,402
2007,AI Ethics & Fairness,343
2008,Other,27578
2008,NLP,7314
2008,Core ML / Deep Learning,5202
2008,Robotics,3100
2008,ML Theory & Optimization,3027
2008,Healthcare AI,754
2008,AI Ethics & Fairness,467
2008,Reinforcement Learning,435
2009,Other,29838
2009,NLP,8227
2009,Core ML / Deep Learning,5702
2009,ML Theory & Optimization,3502
2009,Robotics,3098
2009,Healthcare AI,769
2009,AI Ethics & Fairness,610
2009,Reinforcement Learning,449
2010,Other,31666
2010,NLP,7880
2010,Core ML / Deep Learning,5902
2010,ML Theory & Optimization,3958
2010,Robotics,3419
2010,Healthcare AI,902
2010,AI Ethics & Fairness,786
