publication_type,publication_type_label,paper_count,publication_year
https://openalex.org/types/article,article,15165,2000
https://openalex.org/types/book-chapter,book-chapter,5938,2000
https://openalex.org/types/preprint,preprint,604,2000
https://openalex.org/types/article,article,14236,2001
https://openalex.org/types/book-chapter,book-chapter,5973,2001
https://openalex.org/types/preprint,preprint,564,2001
https://openalex.org/types/article,article,39382,2002
https://openalex.org/types/book-chapter,book-chapter,6379,2002
https://openalex.org/types/preprint,preprint,794,2002
https://openalex.org/types/article,article,27100,2003
https://openalex.org/types/book-chapter,book-chapter,7178,2003
https://openalex.org/types/preprint,preprint,836,2003
https://openalex.org/types/article,article,24825,2004
https://openalex.org/types/book-chapter,book-chapter,8011,2004
https://openalex.org/types/preprint,preprint,1019,2004
https://openalex.org/types/article,article,30009,2005
https://openalex.org/types/book-chapter,book-chapter,10053,2005
https://openalex.org/types/preprint,preprint,1148,2005
https://openalex.org/types/article,article,32066,2006
https://openalex.org/types/book-chapter,book-chapter,11757,2006
https://openalex.org/types/preprint,preprint,1522,2006
https://openalex.org/types/article,article,31989,2007
https://openalex.org/types/book-chapter,book-chapter,11687,2007
https://openalex.org/types/preprint,preprint,1557,2007
https://openalex.org/types/article,article,35056,2008
https://openalex.org/types/book-chapter,book-chapter,11112,2008
https://openalex.org/types/preprint,preprint,1709,2008
https://openalex.org/types/article,article,37921,2009
https://openalex.org/types/book-chapter,book-chapter,12311,2009
https://openalex.org/types/preprint,preprint,1963,2009
https://openalex.org/types/article,article,40777,2010
https://openalex.org/types/book-chapter,book-chapter,12055,2010
https://openalex.org/types/preprint,preprint,2133,2010
https://openalex.org/types/article,article,39810,2011
https://openalex.org/types/book-chapter,book-chapter,14596,2011
https://openalex.org/types/preprint,preprint,2533,2011
https://openalex.org/types/article,article,42749,2012
https://openalex.org/types/book-chapter,book-chapter,14222,2012
https://openalex.org/types/preprint,preprint,3601,2012
https://openalex.org/types/article,article,45440,2013
https://openalex.org/types/book-chapter,book-chapter,13456,2013
https://openalex.org/types/preprint,preprint,4425,2013
https://openalex.org/types/article,article,50085,2014
https://openalex.org/types/book-chapter,book-chapter,14906,2014
https://openalex.org/types/preprint,preprint,4600,2014
https://openalex.org/types/article,article,50868,2015
https://openalex.org/types/book-chapter,book-chapter,12288,2015
https://openalex.org/types/preprint,preprint,5356,2015
https://openalex.org/types/article,article,56156,2016
https://openalex.org/types/book-chapter,book-chapter,13308,2016
https://openalex.org/types/preprint,preprint,7259,2016
https://openalex.org/types/article,article,60388,2017
https://openalex.org/types/book-chapter,book-chapter,14265,2017
https://openalex.org/types/preprint,preprint,9905,2017
https://openalex.org/types/article,article,68474,2018
https://openalex.org/types/book-chapter,book-chapter,16443,2018
https://openalex.org/types/preprint,preprint,14550,2018
https://openalex.org/types/article,article,78275,2019
https://openalex.org/types/preprint,preprint,19879,2019
https://openalex.org/types/book-chapter,book-chapter,15562,2019
https://openalex.org/types/article,article,84703,2020
https://openalex.org/types/preprint,preprint,27057,2020
https://openalex.org/types/book-chapter,book-chapter,17276,2020
https://openalex.org/types/article,article,95599,2021
https://openalex.org/types/preprint,preprint,34184,2021
https://openalex.org/types/book-chapter,book-chapter,17474,2021
https://openalex.org/types/article,article,106685,2022
https://openalex.org/types/preprint,preprint,33569,2022
https://openalex.org/types/book-chapter,book-chapter,19204,2022
https://openalex.org/types/article,article,122741,2023
https://openalex.org/types/preprint,preprint,43612,2023
https://openalex.org/types/book-chapter,book-chapter,22191,2023
https://openalex.org/types/article,article,141840,2024
https://openalex.org/types/preprint,preprint,51116,2024
https://openalex.org/types/book-chapter,book-chapter,22877,2024
https://openalex.org/types/article,article,180478,2025
https://openalex.org/types/preprint,preprint,55525,2025
https://openalex.org/types/book-chapter,book-chapter,25787,2025
https://openalex.org/types/article,article,94272,2026
https://openalex.org/types/preprint,preprint,48522,2026
https://openalex.org/types/book-chapter,book-chapter,11296,2026
