publication_year,paper_count,target_n,sample_weight
2000,21707,272,79.80514705882354
2001,20773,260,79.89615384615385
2002,46555,583,79.8542024013722
2003,35114,440,79.80454545454545
2004,33855,424,79.84669811320755
2005,41210,516,79.86434108527132
2006,45345,568,79.83274647887323
2007,45233,567,79.77601410934744
2008,47877,600,79.795
2009,52195,654,79.80886850152905
2010,54965,689,79.77503628447025
2011,56939,713,79.85834502103786
2012,60572,759,79.80500658761528
2013,63321,793,79.84993694829761
2014,69591,872,79.80619266055047
2015,68512,858,79.85081585081585
2016,76723,961,79.83662851196671
2017,84558,1060,79.77169811320755
2018,99467,1246,79.82905296950241
2019,113716,1425,79.80070175438597
2020,129036,1617,79.79962894248608
2021,147257,1845,79.8140921409214
2022,159458,1998,79.8088088088088
2023,188544,2363,79.79009733389759
2024,215833,2705,79.79038817005545
2025,261790,3281,79.78969826272478
2026,154090,1931,79.79803210771621
